order_id,order_date,customer_id,product_id,category,subcategory,region,city,sales,quantity,discount,profit,sales_channel,payment_method
1,2023-08-17,3771,479,Clothing,Men,North,Delhi,3216,2,0.0,643.2,Online,Net Banking
2,2023-08-12,1108,387,Electronics,Mobile,West,Mumbai,2268,2,0.2,0.0,Online,Net Banking
3,2023-10-12,3859,316,Grocery,Daily Essentials,West,Mumbai,1654,1,0.05,248.1,Offline,Debit Card
4,2023-04-05,4471,276,Clothing,Men,South,Bangalore,1192,4,0.1,119.2,Offline,UPI
5,2023-03-22,4626,285,Electronics,Laptop,West,Ahmedabad,3500,5,0.2,0.0,Online,UPI
6,2023-03-23,2556,242,Furniture,Table,North,Lucknow,3748,2,0.0,749.6,Offline,Debit Card
7,2024-11-17,3495,425,Clothing,Men,South,Hyderabad,4611,3,0.0,922.2,Online,Net Banking
8,2023-10-04,4452,493,Grocery,Beverages,South,Bangalore,2745,5,0.1,274.5,Online,Credit Card
9,2023-03-09,4589,467,Grocery,Beverages,North,Chandigarh,3940,2,0.2,0.0,Offline,Credit Card
10,2023-09-29,3207,234,Grocery,Snacks,West,Pune,1210,2,0.2,0.0,Offline,Net Banking
11,2024-06-05,4527,156,Furniture,Chair,West,Pune,1144,4,0.0,228.8,Online,Credit Card
12,2024-01-26,2029,383,Electronics,Laptop,West,Ahmedabad,5290,5,0.2,0.0,Online,UPI
13,2023-10-28,1013,469,Clothing,Men,East,Patna,1692,4,0.15,84.6,Offline,Net Banking
14,2023-11-02,1626,291,Electronics,Accessories,South,Chennai,6735,5,0.05,1010.25,Online,Net Banking
15,2023-01-20,1980,129,Clothing,Women,North,Lucknow,843,1,0.1,84.3,Online,Net Banking
16,2024-06-29,4878,381,Grocery,Snacks,North,Delhi,724,2,0.15,36.2,Online,Debit Card
17,2023-11-16,2794,364,Furniture,Storage,West,Mumbai,5900,4,0.1,590.0,Offline,UPI
18,2023-01-22,3410,212,Electronics,Laptop,South,Bangalore,6170,5,0.05,925.5,Online,UPI
19,2023-12-05,2140,442,Electronics,Mobile,North,Delhi,1152,1,0.05,172.8,Offline,Credit Card
20,2024-04-29,1397,437,Grocery,Snacks,South,Chennai,1956,4,0.0,391.2,Offline,Debit Card
21,2023-02-25,3982,273,Grocery,Daily Essentials,West,Pune,224,1,0.15,11.2,Online,Credit Card
22,2024-03-08,2023,138,Grocery,Snacks,South,Bangalore,1340,2,0.15,67.0,Offline,Net Banking
23,2023-08-31,2971,209,Electronics,Mobile,North,Delhi,1864,2,0.15,93.2,Offline,UPI
24,2023-09-29,3853,474,Electronics,Laptop,South,Hyderabad,2736,4,0.15,136.8,Offline,Credit Card
25,2024-08-16,1234,125,Furniture,Chair,South,Hyderabad,1120,5,0.1,112.0,Offline,Net Banking
26,2023-03-12,2653,161,Electronics,Mobile,South,Bangalore,1195,5,0.05,179.25,Online,Net Banking
27,2024-11-04,2295,233,Electronics,Laptop,North,Lucknow,6285,5,0.2,0.0,Online,Debit Card
28,2024-11-18,4805,484,Grocery,Snacks,South,Hyderabad,3108,3,0.1,310.8,Online,UPI
29,2024-07-04,1542,278,Electronics,Mobile,West,Ahmedabad,2272,2,0.1,227.2,Online,Credit Card
30,2024-07-10,1032,441,Furniture,Table,East,Bhubaneswar,4056,3,0.2,0.0,Offline,UPI
31,2024-07-20,3477,207,Electronics,Mobile,South,Hyderabad,1314,2,0.1,131.4,Offline,Credit Card
32,2023-02-22,4397,241,Grocery,Beverages,East,Patna,1399,1,0.15,69.95,Online,UPI
33,2024-03-28,3297,104,Clothing,Men,East,Kolkata,7725,5,0.15,386.25,Online,UPI
34,2024-08-19,1522,121,Electronics,Laptop,South,Chennai,2015,5,0.15,100.75,Offline,Debit Card
35,2023-09-13,4621,308,Furniture,Storage,North,Chandigarh,824,1,0.2,0.0,Online,Credit Card
